Source,Destination,Protocol
0.0.0.0,255.255.255.255,DHCP
128.241.217.8,192.168.1.2,HTTP
128.241.217.8,192.168.1.2,TCP
130.59.10.36,192.168.1.2,HTTP
130.59.10.36,192.168.1.2,TCP
131.247.103.14,192.168.1.3,TCP
131.247.103.14,192.168.1.3,TLSv1
168.143.19.95,192.168.1.105,HTTP/XML
168.143.19.95,192.168.1.105,TCP
169.254.112.61,169.254.255.255,NBNS
169.254.112.61,239.255.255.250,SSDP
169.254.127.78,169.254.255.255,NBNS
169.254.127.78,239.255.255.250,SSDP
169.254.225.22,169.254.255.255,NBNS
169.254.225.22,224.0.0.22,IGMPv3
169.254.225.22,224.0.0.252,LLMNR
169.254.243.204,169.254.255.255,BROWSER
169.254.243.204,169.254.255.255,NBNS
169.254.243.204,224.0.0.22,IGMPv3
169.254.243.204,239.255.255.250,SSDP
169.254.77.166,169.254.255.255,NBNS
169.254.77.166,239.255.255.250,SSDP
192.168.1.1,192.168.1.102,DHCP
192.168.1.1,192.168.1.102,DNS
192.168.1.1,192.168.1.103,DHCP
192.168.1.1,192.168.1.103,DNS
192.168.1.1,192.168.1.104,DHCP
192.168.1.1,192.168.1.104,DNS
192.168.1.1,192.168.1.104,LANMAN
192.168.1.1,192.168.1.104,NBSS
192.168.1.1,192.168.1.104,SMB
192.168.1.1,192.168.1.104,TCP
192.168.1.1,192.168.1.105,DHCP
192.168.1.1,192.168.1.105,DNS
192.168.1.1,192.168.1.2,HTTP
192.168.1.1,192.168.1.2,TCP
192.168.1.1,192.168.1.255,NBNS
192.168.1.1,192.168.1.3,DHCP
192.168.1.1,192.168.1.3,DNS
192.168.1.1,192.168.1.3,MDNS
192.168.1.1,192.168.1.3,NAT-PMP
192.168.1.1,192.168.1.50,DNS
192.168.1.1,224.0.0.1,UDP
192.168.1.1,224.0.0.251,MDNS
192.168.1.1,255.255.255.255,DHCP
192.168.1.101,192.101.21.1,NTP
192.168.1.101,192.43.244.18,NTP
192.168.1.101,207.46.232.182,NTP
192.168.1.101,4.2.2.2,DNS
192.168.1.101,4.2.2.3,DNS
192.168.1.101,4.2.2.4,DNS
192.168.1.102,132.163.4.103,TCP
192.168.1.102,192.168.1.1,DHCP
192.168.1.102,192.168.1.1,DNS
192.168.1.102,192.168.1.255,BROWSER
192.168.1.102,192.168.1.255,NBNS
192.168.1.102,198.189.255.75,HTTP
192.168.1.102,198.189.255.75,TCP
192.168.1.102,198.189.255.89,HTTP
192.168.1.102,198.189.255.89,TCP
192.168.1.102,207.46.21.123,HTTP
192.168.1.102,207.46.21.123,TCP
192.168.1.102,207.46.21.123,TLSv1
192.168.1.102,207.46.232.182,NTP
192.168.1.102,212.227.96.110,HTTP/XML
192.168.1.102,212.227.96.110,TCP
192.168.1.102,212.227.97.133,HTTP/XML
192.168.1.102,212.227.97.133,TCP
192.168.1.102,212.4.138.232,TCP
192.168.1.102,212.58.226.139,HTTP
192.168.1.102,212.58.226.139,TCP
192.168.1.102,212.96.161.238,HTTP
192.168.1.102,212.96.161.238,TCP
192.168.1.102,216.218.224.233,HTTP
192.168.1.102,216.218.224.233,TCP
192.168.1.102,216.218.224.235,HTTP
192.168.1.102,216.218.224.235,TCP
192.168.1.102,239.255.255.250,SSDP
192.168.1.102,255.255.255.255,DHCP
192.168.1.102,38.103.37.243,HTTP
192.168.1.102,38.103.37.243,TCP
192.168.1.102,63.245.209.93,HTTP
192.168.1.102,63.245.209.93,TCP
192.168.1.102,65.54.95.57,HTTP
192.168.1.102,65.54.95.57,TCP
192.168.1.102,74.125.164.81,HTTP
192.168.1.102,74.125.164.81,TCP
192.168.1.102,74.125.164.85,HTTP
192.168.1.102,74.125.164.85,TCP
192.168.1.102,74.125.164.86,HTTP
192.168.1.102,74.125.164.86,TCP
192.168.1.102,74.125.164.94,HTTP
192.168.1.102,74.125.164.94,TCP
192.168.1.102,74.125.164.96,HTTP
192.168.1.102,74.125.164.96,TCP
192.168.1.102,74.125.19.100,HTTP
192.168.1.102,74.125.19.100,TCP
192.168.1.102,74.125.19.102,HTTP
192.168.1.102,74.125.19.102,TCP
192.168.1.102,74.125.19.103,HTTP
192.168.1.102,74.125.19.103,TCP
192.168.1.102,74.125.19.113,HTTP
192.168.1.102,74.125.19.113,TCP
192.168.1.102,74.125.19.138,HTTP
192.168.1.102,74.125.19.138,TCP
192.168.1.102,74.125.19.139,HTTP
192.168.1.102,74.125.19.139,TCP
192.168.1.102,74.125.19.99,HTTP
192.168.1.102,74.125.19.99,TCP
192.168.1.102,77.67.44.206,HTTP
192.168.1.102,77.67.44.206,TCP
192.168.1.102,87.106.1.47,HTTP/XML
192.168.1.102,87.106.1.47,TCP
192.168.1.102,87.106.1.89,HTTP/XML
192.168.1.102,87.106.1.89,TCP
192.168.1.102,87.106.12.47,HTTP/XML
192.168.1.102,87.106.12.47,TCP
192.168.1.102,87.106.12.77,HTTP/XML
192.168.1.102,87.106.12.77,TCP
192.168.1.102,87.106.13.61,TCP
192.168.1.102,87.106.13.62,HTTP/XML
192.168.1.102,87.106.13.62,TCP
192.168.1.102,87.106.66.233,HTTP/XML
192.168.1.102,87.106.66.233,TCP
192.168.1.102,87.106.9.29,HTTP/XML
192.168.1.102,87.106.9.29,TCP
192.168.1.103,129.6.15.28,TCP
192.168.1.103,129.6.15.29,TCP
192.168.1.103,132.163.4.101,TCP
192.168.1.103,132.163.4.103,TCP
192.168.1.103,192.168.1.1,DHCP
192.168.1.103,192.168.1.1,DNS
192.168.1.103,192.168.1.255,BROWSER
192.168.1.103,192.168.1.255,NBNS
192.168.1.103,198.189.255.75,HTTP
192.168.1.103,198.189.255.75,TCP
192.168.1.103,207.46.232.182,NTP
192.168.1.103,212.227.96.110,HTTP/XML
192.168.1.103,212.227.96.110,TCP
192.168.1.103,212.227.97.133,HTTP/XML
192.168.1.103,212.227.97.133,TCP
192.168.1.103,212.4.138.232,TCP
192.168.1.103,212.96.161.238,HTTP
192.168.1.103,212.96.161.238,TCP
192.168.1.103,216.218.224.233,HTTP
192.168.1.103,216.218.224.233,TCP
192.168.1.103,216.218.224.235,HTTP
192.168.1.103,216.218.224.235,TCP
192.168.1.103,216.218.224.241,HTTP
192.168.1.103,216.218.224.241,TCP
192.168.1.103,224.0.0.22,IGMPv3
192.168.1.103,239.255.255.250,SSDP
192.168.1.103,255.255.255.255,DHCP
192.168.1.103,38.103.37.243,HTTP
192.168.1.103,38.103.37.243,TCP
192.168.1.103,65.54.95.140,HTTP
192.168.1.103,65.54.95.140,TCP
192.168.1.103,65.55.27.220,HTTP
192.168.1.103,65.55.27.220,TCP
192.168.1.103,65.55.27.220,TLSv1
192.168.1.103,68.216.79.113,TCP
192.168.1.103,87.106.1.47,HTTP/XML
192.168.1.103,87.106.1.47,TCP
192.168.1.103,87.106.1.89,HTTP/XML
192.168.1.103,87.106.1.89,TCP
192.168.1.103,87.106.12.47,HTTP/XML
192.168.1.103,87.106.12.47,TCP
192.168.1.103,87.106.12.77,HTTP/XML
192.168.1.103,87.106.12.77,TCP
192.168.1.103,87.106.13.61,TCP
192.168.1.103,87.106.13.62,HTTP/XML
192.168.1.103,87.106.13.62,TCP
192.168.1.103,87.106.66.233,HTTP/XML
192.168.1.103,87.106.66.233,TCP
192.168.1.103,87.106.9.29,HTTP/XML
192.168.1.103,87.106.9.29,TCP
192.168.1.104,132.163.4.101,TCP
192.168.1.104,192.168.1.1,DHCP
192.168.1.104,192.168.1.1,DNS
192.168.1.104,192.168.1.1,LANMAN
192.168.1.104,192.168.1.1,NBNS
192.168.1.104,192.168.1.1,NBSS
192.168.1.104,192.168.1.1,SMB
192.168.1.104,192.168.1.1,TCP
192.168.1.104,192.168.1.255,BROWSER
192.168.1.104,192.168.1.255,NBNS
192.168.1.104,198.189.255.75,HTTP
192.168.1.104,198.189.255.75,TCP
192.168.1.104,198.189.255.89,HTTP
192.168.1.104,198.189.255.89,TCP
192.168.1.104,207.46.232.182,NTP
192.168.1.104,208.111.170.88,HTTP
192.168.1.104,208.111.170.88,TCP
192.168.1.104,212.227.96.110,HTTP/XML
192.168.1.104,212.227.96.110,TCP
192.168.1.104,212.227.97.133,HTTP/XML
192.168.1.104,212.227.97.133,TCP
192.168.1.104,212.4.138.232,TCP
192.168.1.104,212.58.226.139,HTTP
192.168.1.104,212.58.226.139,TCP
192.168.1.104,212.96.161.238,HTTP
192.168.1.104,212.96.161.238,TCP
192.168.1.104,216.218.224.233,HTTP
192.168.1.104,216.218.224.233,TCP
192.168.1.104,216.218.224.235,HTTP
